taxid	scientific_name	kegg
1263831	Bibersteinia trehalosi USDA-ARS-USMARC-189	btrh
1265350	Buchnera aphidicola (Aphis glycines)	baph
1267021	Frischella perrara	fpp
1272	Kocuria varians	kvr
1273541	Pyrodictium delaneyi	pdl
1274	Dermacoccus nishinomiyaensis	dni
1274631	Bradyrhizobium icense	bic
127582	Trichechus manatus latirostris	tmu
1280	Staphylococcus aureus	sau
1280380	Synechococcus sp. KORDI-100	synk
1281	Staphylococcus carnosus	sca
1283	Staphylococcus haemolyticus	sha
128390	Nipponia nippon	nni
1284	Staphylococcus hyicus	shu
1286	Staphylococcus simulans	ssif
1286170	Raoultella ornithinolytica B6	ror
128780	Stenotrophomonas acidaminiphila	sacz
128785	Pseudoxanthomonas mexicana	pmex
1288	Staphylococcus xylosus	sxy
1288970	Magnetospira sp. QH-2	magq
128944	Aerococcus urinaehominis	auh
129140	Pseudomonas syringae pv. tagetis	psyi
1292033	Mycoplasma putrefaciens Mput9231	mput
1293036	Metallosphaera hakonensis JCM 8857 = DSM 7519	mhk
129338	Geobacillus subterraneus	gsr
1295	Staphylococcus schleiferi	ssch
1295009	Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1	mer
12957	Atta cephalotes	acep
1296536	Enterobacter hormaechei subsp. xiangfangensis	eclx
1297582	Candidatus Portiera aleyrodidarum TV	pld
1297617	Intestinimonas butyriciproducens	ibu
1298593	Thalassolituus oleivorans MIL-1	tol
130081	Galdieria sulphuraria	gsl
1300914	Mucilaginibacter sp. PAMC 26640	mup
1301915	Methanocaldococcus bathoardescens	mjh
1302659	Planococcus versutus	pll
1302858	Borrelia miyamotoi LB-2001	bmo
1303	Streptococcus oralis	sor
13037	Danaus plexippus	dpl
1304	Streptococcus salivarius	ssr
1306519	Flavobacterium commune	fcm
1307763	Kiritimatiella glycovorans	vbl
1307839	Salinivirga cyanobacteriivorans	blq
1314	Streptococcus pyogenes	spy
1315974	Sphingobium sp. TKS	spht
1316444	Blattabacterium sp. (Nauphoeta cinerea)	blu
1316932	Mannheimia haemolytica M42548	mhx
1318743	Bartonella ancashensis	banc
132113	Bombus impatiens	bim
1324350	Acinetobacter equi	aei
1324352	Chryseobacterium gallinarum	cgn
13249	Rhodnius prolixus	13249
1325564	Nitrospira japonica	nja
1326	Streptococcus acidominimus	saco
132908	Pteropus vampyrus	pvp
1330330	Kosmotoga pacifica	kpf
1331671	Pseudomonas putida H8234	pput
1332080	Sphingobium baderi	sbd
1332188	Candidatus Saccharimonas aalborgensis	saal
1332264	Tessaracoccus aquimaris	tes
13333	Amborella trichopoda	atr
1333523	Salinarchaeum sp. Harcht-Bsk1	sali
1333845	Paenibacillus sophorae	psop
1335	Streptococcus equinus	seqi
1336794	Formosa sp. Hel1_33_131	for
1336795	Formosa sp. Hel3_A1_48	foh
1337936	Calothrix sp. 336/3	calh
1338	Streptococcus intermedius	sie
1338011	Elizabethkingia anophelis NUHP1	eao
1340425	Geobacter anodireducens	gao
134533	Acinetobacter parvus	134533
134534	Acinetobacter gyllenbergii	agyl
134537	Paraburkholderia fungorum	bfn
1346	Streptococcus iniae	sik
134676	Actinoplanes sp. SE50/110	ase
1348584	Cellulophaga baltica 18	cbat
1348774	Croceicoccus naphthovorans	cna
1349819	Aureimonas sp. AU20	aua
1352	Enterococcus faecium	efc
1353	Enterococcus gallinarum	ega
1353260	Candidatus Nitrosocosmicus oleophilus	taa
1354	Enterococcus hirae	ehr
1355015	Streptomyces pluripotens	splu
1356852	Hymenobacter sp. APR13	hym
1357279	Pseudomonas syringae CC1557	psyr
1357915	Arthrobacter sp. QXT-31	arq
1357916	Sphingopyxis sp. QXT-31	sphq
136037	Zootermopsis nevadensis	zne
13616	Monodelphis domestica	mdo
1364	Lactococcus piscium	lpk
1366050	Ralstonia pickettii DTP0602	rpj
1367491	Campylobacter coli 76339	ccol
13684	Parastagonospora nodorum	pno
136857	Corynebacterium testudinoris	cted
13686	Solenopsis invicta	soc
13689	Sphingomonas paucimobilis	spau
13690	Sphingobium yanoikuyae	sya
1371	Marinococcus halophilus	1371
13735	Pelodiscus sinensis	pss
1374	Planococcus kocurii	pku
137591	Weissella cibaria	wcb
1377	Aerococcus viridans	avs
137722	Azospirillum sp. B510	azl
137838	Clostridium neonatale	cnn
1379	Gemella haemolysans	gha
1379159	Dyella jiangningensis	dji
1379702	Methanobacterium sp. MB1	meth
1379870	Spirosoma radiotolerans	srd
1379903	Roseivivax marinus	rmh
1379909	Rufibacter sp. DG15C	rud
138074	Serratia symbiotica	ssz
138119	Desulfitobacterium hafniense Y51	dsy
1384459	Methyloceanibacter caenitepidi	mcg
1385663	Hymenobacter sp. DG25A	hye
1385664	Hymenobacter sp. DG25B	hyd
1387353	Paludisphaera borealis	pbor
1388752	Campylobacter subantarcticus LMG 24377	csf
1389489	Leifsonia xyli subsp. cynodontis DSM 46306	lxy
1390395	Sphingomonas sp. LK11	splk
1391653	Vulgatibacter incomptus	vin
1391654	Labilithrix luteola	llu
1394711	Candidatus Saccharibacteria bacterium RAAC3_TM7_1	sbe
1396	Bacillus cereus	Bacillus
1396826	Leisingera aquaemixtae	laqu
1397108	Celeribacter marinus	cmar
1398	Bacillus coagulans	bag
1399115	Exiguobacterium sp. MH3	exm
140	Borrelia hermsii	bhr
1400053	Bacteroidales bacterium CF	bacc
1401	Paenibacillus lautus	plw
1401328	Candidatus Endolissoclinum faulkneri L5	efk
1405	Bacillus mycoides	bwe
1406	Paenibacillus polymyxa	ppy
1407071	Acinetobacter sp. TGL-Y2	acv
1407499	Halobacterium hubeiense	hhb
1408281	Endomicrobium proavitum	epo
1410383	Candidatus Tachikawaea gelatinosa	sbw
1410606	Candidatus Nitrosopelagicus brevis	nbv
1411621	Hymenobacter sedentarius	hyg
1415630	Pseudomonas sp. TKP	psk
1415657	Candidatus Walczuchella monophlebidarum	elv
1416753	Ensifer adhaerens OV14	ead
1419814	Streptococcus sp. VT 162	stv
1420916	Marinobacter similis	msx
1420917	Marinobacter salarius	msr
1421	Lysinibacillus sphaericus	lsp
1423144	Phaeobacter gallaeciensis DSM 26640	pgd
1424294	Geosporobacter ferrireducens	gfe
1426	Parageobacillus thermoglucosidasius	gth
1430440	Magnetospirillum gryphiswaldense MSR-1 v2	mgy
1433287	Mannheimia varigena USDA-ARS-USMARC-1296	mvi
1434100	Methanosarcina sp. MTP4	metm
1434103	Methanosarcina sp. WWM596	meq
1434107	Methanosarcina barkeri 3	mbak
1434108	Methanosarcina barkeri MS	mby
1434118	Methanosarcina siciliae C2J	msj
1435356	Rhodococcus pyridinivorans SB3094	rpy
1435377	Sulfolobus acidocaldarius SUSAZ	sacs
143948	Diuraphis noxia	dnx
1440763	Luteibacter rhizovicinus DSM 16549	lrz
1442136	Ectothiorhodospira sp. BSL-9	ebs
1443113	Yersinia enterocolitica LC20	yel
1447716	Bifidobacterium kashiwanohense PV20-2	bka
1448139	Aeromonas hydrophila YL17	ahd
1449088	Bacillus velezensis TrigoCor1448	bamt
